var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,,,,
78,X9,X11,0.0758784885864781,0.00359197682076895,0.0921066600779521,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
79,X9,X12,0.0758784885864781,0.0159103272917055,0.0883828292589273,"Enhance, bi-",,,,,,,,,,,,,,,,,,
80,X9,X13,0.0758784885864781,0.010977326562447,0.105181719104897,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
81,X9,X14,0.0758784885864781,0.0528481639526044,0.124325871747799,"Enhance, bi-",,,,,,,,,,,,,,,,,,
82,X10,X11,0.160358006474595,0.00359197682076895,0.180214894357622,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
83,X10,X12,0.160358006474595,0.0159103272917055,0.180436831365313,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
84,X10,X13,0.160358006474595,0.010977326562447,0.188929812197069,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
85,X10,X14,0.160358006474595,0.0528481639526044,0.222230187271854,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
86,X11,X12,0.00359197682076895,0.0159103272917055,0.0223157306964213,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
87,X11,X13,0.00359197682076895,0.010977326562447,0.0214797336584477,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
88,X11,X14,0.00359197682076895,0.0528481639526044,0.0662349124205589,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
89,X12,X13,0.0159103272917055,0.010977326562447,0.0309860578759511,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
90,X12,X14,0.0159103272917055,0.0528481639526044,0.0648600242599968,"Enhance, bi-",,,,,,,,,,,,,,,,,,
91,X13,X14,0.010977326562447,0.0528481639526044,0.0841468138431134,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
