LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
63,8000000,0,0,80000,920000,0,0.888888889,0,0,0.008888889,0.102222222,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022322675,0.018616516,0.0071094,0.521304044
64,20000,8980000,0,0,0,0,0.002222222,0.997777778,0,0,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.005250324,0.018616516,0.0071094,-1.880073126
65,7780000,0,0,0,1220000,0,0.864444444,0,0,0,0.135555556,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021700299,0.018616516,0.0071094,0.433761354
66,8050000,20000,10000,0,920000,0,0.894444444,0.002222222,0.001111111,0,0.102222222,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022133275,0.018616516,0.0071094,0.494663258
67,2040000,6960000,0,0,0,0,0.226666667,0.773333333,0,0,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.009395947,0.018616516,0.0071094,-1.296954584
68,7600000,0,0,1030000,370000,0,0.844444444,0,0,0.114444444,0.041111111,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.024825292,0.018616516,0.0071094,0.87331926
69,7450000,0,0,410000,1140000,0,0.827777778,0,0,0.045555556,0.126666667,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022525029,0.018616516,0.0071094,0.549766924
70,7970000,0,0,0,1030000,0,0.885555556,0,0,0,0.114444444,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022008594,0.018616516,0.0071094,0.477125773
71,8030000,0,0,500000,470000,0,0.892222222,0,0,0.055555556,0.052222222,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.023764718,0.018616516,0.0071094,0.724140146
72,8130000,0,0,0,870000,0,0.903333333,0,0,0,0.096666667,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022268211,0.018616516,0.0071094,0.5136432
73,7890000,0,0,0,1110000,0,0.876666667,0,0,0,0.123333333,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021878786,0.018616516,0.0071094,0.45886713
74,7590000,0,0,390000,1020000,0,0.843333333,0,0,0.043333333,0.113333333,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022685843,0.018616516,0.0071094,0.572386835
75,7600000,0,0,260000,1140000,0,0.844444444,0,0,0.028888889,0.126666667,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.02227079,0.018616516,0.0071094,0.51400596
76,8060000,0,0,0,940000,0,0.895555556,0,0,0,0.104444444,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022154629,0.018616516,0.0071094,0.497666887
77,8150000,0,0,0,850000,0,0.905555556,0,0,0,0.094444444,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022300663,0.018616516,0.0071094,0.518207861
78,3940000,2540000,950000,210000,1360000,0,0.437777778,0.282222222,0.105555556,0.023333333,0.151111111,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.015404077,0.018616516,0.0071094,-0.451857959
79,8350000,0,0,0,650000,0,0.927777778,0,0,0,0.072222222,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022625184,0.018616516,0.0071094,0.56385461
80,7470000,0,0,0,1530000,0,0.83,0,0,0,0.17,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021197292,0.018616516,0.0071094,0.363008971
81,8070000,0,0,0,930000,0,0.896666667,0,0,0,0.103333333,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022170855,0.018616516,0.0071094,0.499949218
