LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
49,6880000,0,0,1080000,1040000,0,0.764444444,0,0,0.12,0.115555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.025901544,0.019501207,0.007690418,0.832248309
50,5890000,1660000,600000,770000,80000,0,0.654444444,0.184444444,0.066666667,0.085555556,0.008888889,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022465762,0.019501207,0.007690418,0.385486871
51,6940000,1750000,0,310000,0,0,0.771111111,0.194444444,0,0.034444444,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.021549575,0.019501207,0.007690418,0.266353288
52,7550000,0,0,0,1450000,0,0.838888889,0,0,0,0.161111111,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.021821597,0.019501207,0.007690418,0.301724839
53,6660000,2200000,30000,110000,0,0,0.74,0.244444444,0.003333333,0.012222222,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.019936523,0.019501207,0.007690418,0.056604989
54,8290000,410000,0,60000,240000,0,0.921111111,0.045555556,0,0.006666667,0.026666667,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.023211772,0.019501207,0.007690418,0.482492007
55,2970000,6030000,0,0,0,0,0.33,0.67,0,0,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.011459536,0.019501207,0.007690418,-1.045674171
56,6040000,2520000,0,440000,0,0,0.671111111,0.28,0,0.048888889,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.020315086,0.019501207,0.007690418,0.105830274
57,2090000,6860000,0,50000,0,0,0.232222222,0.762222222,0,0.005555556,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.00984708,0.019501207,0.007690418,-1.255344971
58,5940000,2970000,0,0,90000,0,0.66,0.33,0,0,0.01,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.017826107,0.019501207,0.007690418,-0.217816522
