LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
41,570000,7480000,0,950000,0,0,0.063333333,0.831111111,0,0.105555556,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.010155479,0.018776375,0.006133587,-1.405522825
42,3600000,5160000,0,0,240000,0,0.4,0.573333333,0,0,0.026666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.012725207,0.018776375,0.006133587,-0.986562735
43,740000,8140000,0,110000,10000,0,0.082222222,0.904444444,0,0.012222222,0.001111111,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.00733331,0.018776375,0.006133587,-1.865640073
44,8110000,0,0,40000,850000,0,0.901111111,0,0,0.004444444,0.094444444,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022162053,0.018776375,0.006133587,0.551989921
45,80000,2060000,0,0,0,0,0.037383178,0.962616822,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.00611129,0.018776375,0.006133587,-2.064874236
46,6960000,0,0,1200000,840000,0,0.773333333,0,0,0.133333333,0.093333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.024241851,0.018776375,0.006133587,0.891073418
47,7520000,60000,1330000,0,50000,0,0.839285714,0.006696429,0.1484375,0,0.005580357,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021399075,0.018776375,0.006133587,0.427596472
48,8430000,490000,0,80000,0,0,0.936666667,0.054444444,0,0.008888889,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022502645,0.018776375,0.006133587,0.607518933
49,6450000,0,0,1710000,840000,0,0.716666667,0,0,0.19,0.093333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.025149813,0.018776375,0.006133587,1.039104587
50,5460000,1690000,1420000,430000,0,0,0.606666667,0.187777778,0.157777778,0.047777778,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.018888583,0.018776375,0.006133587,0.018294027
51,6810000,1800000,0,390000,0,0,0.756666667,0.2,0,0.043333333,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.020450278,0.018776375,0.006133587,0.272907697
52,7580000,0,0,0,1420000,0,0.842222222,0,0,0,0.157777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021256968,0.018776375,0.006133587,0.404427809
53,6200000,2110000,460000,230000,0,0,0.688888889,0.234444444,0.051111111,0.025555556,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.018949341,0.018776375,0.006133587,0.028199814
54,8600000,400000,0,0,0,0,0.955555556,0.044444444,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022539138,0.018776375,0.006133587,0.613468633
55,2970000,6030000,0,0,0,0,0.33,0.67,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.011346761,0.018776375,0.006133587,-1.211300085
56,6070000,2600000,0,330000,0,0,0.674444444,0.288888889,0,0.036666667,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.018753068,0.018776375,0.006133587,-0.003799897
57,1870000,6990000,0,140000,0,0,0.207777778,0.776666667,0,0.015555556,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.009687536,0.018776375,0.006133587,-1.481814728
58,5900000,3100000,0,0,0,0,0.655555556,0.344444444,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.017171568,0.018776375,0.006133587,-0.26164251
59,6830000,0,0,390000,1780000,0,0.758888889,0,0,0.043333333,0.197777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021424635,0.018776375,0.006133587,0.431763691
60,8120000,0,0,0,880000,0,0.902222222,0,0,0,0.097777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022046952,0.018776375,0.006133587,0.533224229
61,8150000,0,0,0,850000,0,0.905555556,0,0,0,0.094444444,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.02209084,0.018776375,0.006133587,0.540379586
62,7560000,0,0,0,1440000,0,0.84,0,0,0,0.16,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021227709,0.018776375,0.006133587,0.399657517
63,8390000,0,0,0,610000,0,0.932222222,0,0,0,0.067777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022441944,0.018776375,0.006133587,0.597622439
64,0,9000000,0,0,0,0,0,1,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.005442434,0.018776375,0.006133587,-2.173922341
65,8100000,0,0,0,900000,0,0.9,0,0,0,0.1,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022017693,0.018776375,0.006133587,0.528453937
66,7930000,20000,10000,0,1040000,0,0.881111111,0.002222222,0.001111111,0,0.115555556,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021760083,0.018776375,0.006133587,0.486454041
67,2010000,6990000,0,0,0,0,0.223333333,0.776666667,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.009438292,0.018776375,0.006133587,-1.522450659
68,7890000,0,0,900000,210000,0,0.876666667,0,0,0.1,0.023333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.024629404,0.018776375,0.006133587,0.954258798
69,7710000,0,0,430000,860000,0,0.856666667,0,0,0.047777778,0.095555556,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022841747,0.018776375,0.006133587,0.662805019
70,8050000,0,0,0,950000,0,0.894444444,0,0,0,0.105555556,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021944547,0.018776375,0.006133587,0.516528451
71,8390000,0,0,0,610000,0,0.932222222,0,0,0,0.067777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022441944,0.018776375,0.006133587,0.597622439
72,7850000,0,0,0,1150000,0,0.872222222,0,0,0,0.127777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.02165196,0.018776375,0.006133587,0.468826019
73,7980000,0,0,0,1020000,0,0.886666667,0,0,0,0.113333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021842141,0.018776375,0.006133587,0.49983251
74,7750000,0,0,350000,900000,0,0.861111111,0,0,0.038888889,0.1,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022640805,0.018776375,0.006133587,0.630044089
75,7880000,0,0,250000,870000,0,0.875555556,0,0,0.027777778,0.096666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022506661,0.018776375,0.006133587,0.608173688
76,7760000,560000,0,0,680000,0,0.862222222,0.062222222,0,0,0.075555556,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021226265,0.018776375,0.006133587,0.399422092
77,8040000,0,0,0,960000,0,0.893333333,0,0,0,0.106666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021929917,0.018776375,0.006133587,0.514143224
78,4860000,2680000,1010000,0,450000,0,0.54,0.297777778,0.112222222,0,0.05,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.01603123,0.018776375,0.006133587,-0.447559506
79,8310000,0,0,0,690000,0,0.923333333,0,0,0,0.076666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022324909,0.018776375,0.006133587,0.578541434
80,7880000,0,0,0,1120000,0,0.875555556,0,0,0,0.124444444,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021695848,0.018776375,0.006133587,0.475981376
81,7970000,0,0,0,1030000,0,0.885555556,0,0,0,0.114444444,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021827512,0.018776375,0.006133587,0.497447446
82,7870000,0,0,70000,1060000,0,0.874444444,0,0,0.007777778,0.117777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021908246,0.018776375,0.006133587,0.510610054
83,7730000,0,0,0,1270000,0,0.858888889,0,0,0,0.141111111,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021476408,0.018776375,0.006133587,0.440204592
84,60000,7760000,1180000,0,0,0,0.006666667,0.862222222,0.131111111,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.006368898,0.018776375,0.006133587,-2.022874666
85,8050000,0,0,0,950000,0,0.894444444,0,0,0,0.105555556,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021944547,0.018776375,0.006133587,0.516528451
86,8290000,0,0,0,710000,0,0.921111111,0,0,0,0.078888889,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022295651,0.018776375,0.006133587,0.573771305
87,8400000,0,0,0,600000,0,0.933333333,0,0,0,0.066666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022456574,0.018776375,0.006133587,0.600007667
88,7570000,0,0,0,1430000,0,0.841111111,0,0,0,0.158888889,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021242338,0.018776375,0.006133587,0.402042581
89,7530000,0,0,0,1470000,0,0.836666667,0,0,0,0.163333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021183821,0.018776375,0.006133587,0.39250216
90,7010000,0,880000,540000,570000,0,0.778888889,0,0.097777778,0.06,0.063333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022314371,0.018776375,0.006133587,0.576823352
91,7220000,0,0,0,1780000,0,0.802222222,0,0,0,0.197777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.020730311,0.018776375,0.006133587,0.318563366
92,7220000,0,0,420000,1360000,0,0.802222222,0,0,0.046666667,0.151111111,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022092477,0.018776375,0.006133587,0.540646477
