LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
9294,2.5202,0.022249,1.955770553,0.67912856,0.831108394,0.01859694,0.007131405,0.51210943,HIGH,HIGH,HIGHHIGH,1,1
9295,2.14719,0.008858,1.955770553,0.67912856,0.281860399,0.01859694,0.007131405,-1.365641131,HIGH,LOW,HIGHLOW,2,4
9296,2.33786,0.019633,1.955770553,0.67912856,0.562617256,0.01859694,0.007131405,0.145281302,HIGH,HIGH,HIGHHIGH,1,1
9297,2.2634,0.021238,1.955770553,0.67912856,0.452976748,0.01859694,0.007131405,0.370342138,HIGH,HIGH,HIGHHIGH,1,1
9298,2.39611,0.021852,1.955770553,0.67912856,0.64838894,0.01859694,0.007131405,0.456440177,HIGH,HIGH,HIGHHIGH,1,1
9299,2.16883,0.023564,1.955770553,0.67912856,0.313724763,0.01859694,0.007131405,0.696505068,HIGH,HIGH,HIGHHIGH,1,1
9300,0.655256,0.009498,1.955770553,0.67912856,-1.914975501,0.01859694,0.007131405,-1.275897247,LOW,LOW,LOWLOW,4,3
9301,0.576095,0.024521,1.955770553,0.67912856,-2.031538114,0.01859694,0.007131405,0.830700221,LOW,HIGH,LOWHIGH,3,2
9302,2.26408,0.02095,1.955770553,0.67912856,0.453978032,0.01859694,0.007131405,0.329957389,HIGH,HIGH,HIGHHIGH,1,1
9303,2.30162,0.022185,1.955770553,0.67912856,0.509254753,0.01859694,0.007131405,0.503135042,HIGH,HIGH,HIGHHIGH,1,1
9304,0.872535,0.009076,1.955770553,0.67912856,-1.595037549,0.01859694,0.007131405,-1.335072121,LOW,LOW,LOWLOW,4,3
9305,2.16433,0.022722,1.955770553,0.67912856,0.307098625,0.01859694,0.007131405,0.57843577,HIGH,HIGH,HIGHHIGH,1,1
9306,2.53002,0.014598,1.955770553,0.67912856,0.845568101,0.01859694,0.007131405,-0.560750666,HIGH,LOW,HIGHLOW,2,4
9307,1.95317,0.022382,1.955770553,0.67912856,-0.00382925,0.01859694,0.007131405,0.530759331,LOW,HIGH,LOWHIGH,3,2
9308,2.32483,0.021856,1.955770553,0.67912856,0.543430903,0.01859694,0.007131405,0.457001076,HIGH,HIGH,HIGHHIGH,1,1
9309,0.581334,0.021635,1.955770553,0.67912856,-2.023823817,0.01859694,0.007131405,0.426011391,LOW,HIGH,LOWHIGH,3,2
9310,2.28703,0.021733,1.955770553,0.67912856,0.487771339,0.01859694,0.007131405,0.439753423,HIGH,HIGH,HIGHHIGH,1,1
9311,0.596869,0.011656,1.955770553,0.67912856,-2.000948913,0.01859694,0.007131405,-0.973292086,LOW,LOW,LOWLOW,4,3
9312,2.22353,0.016881,1.955770553,0.67912856,0.39426916,0.01859694,0.007131405,-0.240617402,HIGH,LOW,HIGHLOW,2,4
9313,2.20706,0.022138,1.955770553,0.67912856,0.370017492,0.01859694,0.007131405,0.496544475,HIGH,HIGH,HIGHHIGH,1,1
9314,2.562,0.022057,1.955770553,0.67912856,0.89265786,0.01859694,0.007131405,0.485186265,HIGH,HIGH,HIGHHIGH,1,1
9315,2.22551,0.022073,1.955770553,0.67912856,0.397184661,0.01859694,0.007131405,0.487429862,HIGH,HIGH,HIGHHIGH,1,1
9316,2.21697,0.021641,1.955770553,0.67912856,0.384609722,0.01859694,0.007131405,0.42685274,HIGH,HIGH,HIGHHIGH,1,1
9317,1.81737,0.02183,1.955770553,0.67912856,-0.20379139,0.01859694,0.007131405,0.453355231,LOW,HIGH,LOWHIGH,3,2
9318,0.559877,0.019964,1.955770553,0.67912856,-2.055418718,0.01859694,0.007131405,0.191695717,LOW,HIGH,LOWHIGH,3,2
9319,2.20467,0.016355,1.955770553,0.67912856,0.366498277,0.01859694,0.007131405,-0.314375658,HIGH,LOW,HIGHLOW,2,4
9320,2.14481,0.006139,1.955770553,0.67912856,0.278355908,0.01859694,0.007131405,-1.746912417,HIGH,LOW,HIGHLOW,2,4
9321,2.18693,0.025407,1.955770553,0.67912856,0.340376566,0.01859694,0.007131405,0.954939411,HIGH,HIGH,HIGHHIGH,1,1
9322,2.31503,0.021757,1.955770553,0.67912856,0.529000646,0.01859694,0.007131405,0.443118819,HIGH,HIGH,HIGHHIGH,1,1
9323,0.514179,0.02148,1.955770553,0.67912856,-2.122707892,0.01859694,0.007131405,0.404276544,LOW,HIGH,LOWHIGH,3,2
9324,0.508046,0.021992,1.955770553,0.67912856,-2.131738583,0.01859694,0.007131405,0.476071652,LOW,HIGH,LOWHIGH,3,2
9325,2.1594,0.021603,1.955770553,0.67912856,0.299839322,0.01859694,0.007131405,0.421524197,HIGH,HIGH,HIGHHIGH,1,1
9326,2.10285,0.020242,1.955770553,0.67912856,0.216570846,0.01859694,0.007131405,0.230678217,HIGH,HIGH,HIGHHIGH,1,1
9327,0.525259,0.022261,1.955770553,0.67912856,-2.106392867,0.01859694,0.007131405,0.513792128,LOW,HIGH,LOWHIGH,3,2
