OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
91,76,面,4132,2.527857,0,12000,9000000,91,2.527857,2.162318219,0.662851466,0.551464092
92,273,面,4136,2.536357,0,12000,9000000,92,2.536357,2.162318219,0.662851466,0.564287477
93,363,面,4164,2.669505,0,12000,9000000,93,2.669505,2.162318219,0.662851466,0.765159025
94,308,面,4168,2.617925,0,12000,9000000,94,2.617925,2.162318219,0.662851466,0.687343704
95,158,面,4202,0.809408,0,12000,9000000,95,0.809408,2.162318219,0.662851466,-2.041045827
96,495,面,4226,2.246517,0,12000,9000000,96,2.246517,2.162318219,0.662851466,0.127025112
97,55,面,4266,2.745696,0,12000,9000000,97,2.745696,2.162318219,0.662851466,0.880103329
98,284,面,4282,2.413535,0,12000,9000000,98,2.413535,2.162318219,0.662851466,0.37899408
99,316,面,4346,2.999407,0,12000,9000000,99,2.999407,2.162318219,0.662851466,1.26286027
100,275,面,4380,2.889944,0,12000,9000000,100,2.889944,2.162318219,0.662851466,1.09772071
101,123,面,4424,2.250948,0,12000,9000000,101,2.250948,2.162318219,0.662851466,0.133709867
102,365,面,4500,3.021454,0,12000,9000000,102,3.021454,2.162318219,0.662851466,1.296121116
103,205,面,4504,0.774041,0,12000,9000000,103,0.774041,2.162318219,0.662851466,-2.094401672
104,35,面,4513,2.488849,0,12000,9000000,104,2.488849,2.162318219,0.662851466,0.492615312
105,301,面,4518,2.527071,0,12000,9000000,105,2.527071,2.162318219,0.662851466,0.550278306
106,43,面,4541,2.663558,0,12000,9000000,106,2.663558,2.162318219,0.662851466,0.756187181
107,210,面,4547,2.561276,0,12000,9000000,107,2.561276,2.162318219,0.662851466,0.601881118
108,433,面,4556,2.729999,0,12000,9000000,108,2.729999,2.162318219,0.662851466,0.856422307
109,116,面,4559,3.157643,0,9795.567105,5929413.883,109,3.157643,2.162318219,0.662851466,1.501580418
110,337,面,4601,0.674752,0,12000,9000000,110,0.674752,2.162318219,0.662851466,-2.244192395
111,239,面,4633,2.748829,0,12000,9000000,111,2.748829,2.162318219,0.662851466,0.884829878
112,220,面,4648,2.925874,0,12000,9000000,112,2.925874,2.162318219,0.662851466,1.151925915
113,153,面,4702,2.748028,0,12000,9000000,113,2.748028,2.162318219,0.662851466,0.883621462
114,82,面,4784,3.169481,0,12000,9000000,114,3.169481,2.162318219,0.662851466,1.519439623
115,156,面,4834,2.534553,0,12000,9000000,115,2.534553,2.162318219,0.662851466,0.561565902
116,384,面,4922,3.086106,0,12000,9000000,116,3.086106,2.162318219,0.662851466,1.393657296
117,2,面,4960,3.16629,0,12000,9000000,117,3.16629,2.162318219,0.662851466,1.514625573
118,376,面,4997,3.010193,0,12000,9000000,118,3.010193,2.162318219,0.662851466,1.279132393
119,489,面,5046,2.679861,0,12000,9000000,119,2.679861,2.162318219,0.662851466,0.780782435
120,54,面,5076,2.758702,0,12000,9000000,120,2.758702,2.162318219,0.662851466,0.899724617
121,455,面,5100,2.93171,0,12000,9000000,121,2.93171,2.162318219,0.662851466,1.160730301
