LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
1792,2.25537,0.023589,1.931347933,0.690740706,0.469093632,0.019480712,0.007712507,0.532678668,HIGH,HIGH,HIGHHIGH,1,1
1793,2.13623,0.020082,1.931347933,0.690740706,0.296612122,0.019480712,0.007712507,0.077962696,HIGH,HIGH,HIGHHIGH,1,1
1794,1.89996,0.021963,1.931347933,0.690740706,-0.045440978,0.019480712,0.007712507,0.321852272,LOW,HIGH,LOWHIGH,3,2
1795,0.543468,0.017446,1.931347933,0.690740706,-2.009263276,0.019480712,0.007712507,-0.263819826,LOW,LOW,LOWLOW,4,3
1796,0.521522,0.022917,1.931347933,0.690740706,-2.041034966,0.019480712,0.007712507,0.445547464,LOW,HIGH,LOWHIGH,3,2
1797,0.500055,0.0205,1.931347933,0.690740706,-2.072113198,0.019480712,0.007712507,0.132160379,LOW,HIGH,LOWHIGH,3,2
1798,2.06992,0.021201,1.931347933,0.690740706,0.200613726,0.019480712,0.007712507,0.22305171,HIGH,HIGH,HIGHHIGH,1,1
1799,0.606277,0.025459,1.931347933,0.690740706,-1.918333351,0.019480712,0.007712507,0.775141989,LOW,HIGH,LOWHIGH,3,2
1800,2.15597,0.022233,1.931347933,0.690740706,0.32519014,0.019480712,0.007712507,0.356860345,HIGH,HIGH,HIGHHIGH,1,1
1801,2.04086,0.02352,1.931347933,0.690740706,0.158542946,0.019480712,0.007712507,0.52373216,HIGH,HIGH,HIGHHIGH,1,1
1802,2.43506,0.022131,1.931347933,0.690740706,0.729234664,0.019480712,0.007712507,0.343635073,HIGH,HIGH,HIGHHIGH,1,1
1803,0.51172,0.021635,1.931347933,0.690740706,-2.05522553,0.019480712,0.007712507,0.279323946,LOW,HIGH,LOWHIGH,3,2
1804,0.540567,0.021959,1.931347933,0.690740706,-2.013463115,0.019480712,0.007712507,0.321333634,LOW,HIGH,LOWHIGH,3,2
1805,2.1203,0.02074,1.931347933,0.690740706,0.273549923,0.019480712,0.007712507,0.163278666,HIGH,HIGH,HIGHHIGH,1,1
1806,2.12364,0.02175,1.931347933,0.690740706,0.278385312,0.019480712,0.007712507,0.294234792,HIGH,HIGH,HIGHHIGH,1,1
1807,2.19486,0.021128,1.931347933,0.690740706,0.381492019,0.019480712,0.007712507,0.213586564,HIGH,HIGH,HIGHHIGH,1,1
1808,2.17868,0.020689,1.931347933,0.690740706,0.35806789,0.019480712,0.007712507,0.15666603,HIGH,HIGH,HIGHHIGH,1,1
1809,2.12331,0.021787,1.931347933,0.690740706,0.277907564,0.019480712,0.007712507,0.299032194,HIGH,HIGH,HIGHHIGH,1,1
1810,1.89373,0.023321,1.931347933,0.690740706,-0.054460281,0.019480712,0.007712507,0.497929914,LOW,HIGH,LOWHIGH,3,2
1811,2.04233,0.021118,1.931347933,0.690740706,0.160671097,0.019480712,0.007712507,0.212289969,HIGH,HIGH,HIGHHIGH,1,1
1812,2.11475,0.02189,1.931347933,0.690740706,0.26551507,0.019480712,0.007712507,0.312387126,HIGH,HIGH,HIGHHIGH,1,1
1813,2.04255,0.022422,1.931347933,0.690740706,0.160989595,0.019480712,0.007712507,0.381365996,HIGH,HIGH,HIGHHIGH,1,1
1814,2.09478,0.021869,1.931347933,0.690740706,0.236604076,0.019480712,0.007712507,0.309664276,HIGH,HIGH,HIGHHIGH,1,1
1815,1.62629,0.015761,1.931347933,0.690740706,-0.441638853,0.019480712,0.007712507,-0.482296134,LOW,LOW,LOWLOW,4,3
1816,0.496845,0.012075,1.931347933,0.690740706,-2.076760384,0.019480712,0.007712507,-0.960221162,LOW,LOW,LOWLOW,4,3
1817,2.18263,0.014805,1.931347933,0.690740706,0.363786388,0.019480712,0.007712507,-0.606250645,HIGH,LOW,HIGHLOW,2,4
1818,0.440752,0.020552,1.931347933,0.690740706,-2.157967412,0.019480712,0.007712507,0.138902675,LOW,HIGH,LOWHIGH,3,2
1819,2.07597,0.022622,1.931347933,0.690740706,0.20937244,0.019480712,0.007712507,0.407297902,HIGH,HIGH,HIGHHIGH,1,1
1820,2.10591,0.020277,1.931347933,0.690740706,0.252717214,0.019480712,0.007712507,0.103246304,HIGH,HIGH,HIGHHIGH,1,1
1821,2.14113,0.020131,1.931347933,0.690740706,0.303705956,0.019480712,0.007712507,0.084316013,HIGH,HIGH,HIGHHIGH,1,1
1822,1.988,0.02204,1.931347933,0.690740706,0.082016401,0.019480712,0.007712507,0.331836056,HIGH,HIGH,HIGHHIGH,1,1
1823,2.19291,0.019487,1.931347933,0.690740706,0.378668963,0.019480712,0.007712507,0.000815275,HIGH,HIGH,HIGHHIGH,1,1
1824,1.99714,0.021646,1.931347933,0.690740706,0.095248573,0.019480712,0.007712507,0.280750201,HIGH,HIGH,HIGHHIGH,1,1
1825,2.02608,0.024085,1.931347933,0.690740706,0.137145626,0.019480712,0.007712507,0.596989795,HIGH,HIGH,HIGHHIGH,1,1
1826,2.25225,0.02086,1.931347933,0.690740706,0.464576742,0.019480712,0.007712507,0.17883781,HIGH,HIGH,HIGHHIGH,1,1
1827,2.18179,0.025516,1.931347933,0.690740706,0.362570303,0.019480712,0.007712507,0.782532582,HIGH,HIGH,HIGHHIGH,1,1
1828,0.417722,0.015641,1.931347933,0.690740706,-2.191308432,0.019480712,0.007712507,-0.497855278,LOW,LOW,LOWLOW,4,3
1829,2.44652,0.020966,1.931347933,0.690740706,0.74582555,0.019480712,0.007712507,0.19258172,HIGH,HIGH,HIGHHIGH,1,1
1830,0.494633,0.021944,1.931347933,0.690740706,-2.079962743,0.019480712,0.007712507,0.319388741,LOW,HIGH,LOWHIGH,3,2
1831,1.84299,0.022062,1.931347933,0.690740706,-0.127917658,0.019480712,0.007712507,0.334688565,LOW,HIGH,LOWHIGH,3,2
1832,1.79149,0.022182,1.931347933,0.690740706,-0.202475302,0.019480712,0.007712507,0.350247709,LOW,HIGH,LOWHIGH,3,2
1833,0.402316,0.021959,1.931347933,0.690740706,-2.213612026,0.019480712,0.007712507,0.321333634,LOW,HIGH,LOWHIGH,3,2
1834,2.2593,0.024202,1.931347933,0.690740706,0.474783177,0.019480712,0.007712507,0.61215996,HIGH,HIGH,HIGHHIGH,1,1
1835,2.14476,0.022253,1.931347933,0.690740706,0.308961185,0.019480712,0.007712507,0.359453536,HIGH,HIGH,HIGHHIGH,1,1
1836,1.8688,0.021678,1.931347933,0.690740706,-0.090551972,0.019480712,0.007712507,0.284899306,LOW,HIGH,LOWHIGH,3,2
1837,0.544278,0.0201,1.931347933,0.690740706,-2.008090621,0.019480712,0.007712507,0.080296567,LOW,HIGH,LOWHIGH,3,2
1838,2.03723,0.022662,1.931347933,0.690740706,0.153287718,0.019480712,0.007712507,0.412484283,HIGH,HIGH,HIGHHIGH,1,1
1839,0.501427,0.021976,1.931347933,0.690740706,-2.070126925,0.019480712,0.007712507,0.323537846,LOW,HIGH,LOWHIGH,3,2
1840,2.03124,0.020614,1.931347933,0.690740706,0.144615868,0.019480712,0.007712507,0.146941566,HIGH,HIGH,HIGHHIGH,1,1
1841,2.22177,0.009239,1.931347933,0.690740706,0.420450198,0.019480712,0.007712507,-1.32793559,HIGH,LOW,HIGHLOW,2,4
1842,2.13437,0.023783,1.931347933,0.690740706,0.293919361,0.019480712,0.007712507,0.557832617,HIGH,HIGH,HIGHHIGH,1,1
1843,1.81603,0.02026,1.931347933,0.690740706,-0.166948223,0.019480712,0.007712507,0.101042092,LOW,HIGH,LOWHIGH,3,2
1844,2.05964,0.020792,1.931347933,0.690740706,0.185731152,0.019480712,0.007712507,0.170020962,HIGH,HIGH,HIGHHIGH,1,1
1845,1.9883,0.023238,1.931347933,0.690740706,0.082450717,0.019480712,0.007712507,0.487168173,HIGH,HIGH,HIGHHIGH,1,1
1846,1.93801,0.021903,1.931347933,0.690740706,0.009644816,0.019480712,0.007712507,0.3140727,HIGH,HIGH,HIGHHIGH,1,1
1847,0.470514,0.012195,1.931347933,0.690740706,-2.114880332,0.019480712,0.007712507,-0.944662019,LOW,LOW,LOWLOW,4,3
1848,0.377931,0.012875,1.931347933,0.690740706,-2.248914709,0.019480712,0.007712507,-0.856493538,LOW,LOW,LOWLOW,4,3
1849,1.92254,0.022783,1.931347933,0.690740706,-0.012751432,0.019480712,0.007712507,0.428173086,LOW,HIGH,LOWHIGH,3,2
1850,1.82236,0.021925,1.931347933,0.690740706,-0.157784147,0.019480712,0.007712507,0.31692521,LOW,HIGH,LOWHIGH,3,2
1851,2.15748,0.023215,1.931347933,0.690740706,0.327376199,0.019480712,0.007712507,0.484186003,HIGH,HIGH,HIGHHIGH,1,1
1852,0.335836,0.03073,1.931347933,0.690740706,-2.309856535,0.019480712,0.007712507,1.458577372,LOW,HIGH,LOWHIGH,3,2
1853,0.419632,0.028325,1.931347933,0.690740706,-2.188543285,0.019480712,0.007712507,1.146746202,LOW,HIGH,LOWHIGH,3,2
1854,2.09199,0.027963,1.931347933,0.690740706,0.232564934,0.019480712,0.007712507,1.099809453,HIGH,HIGH,HIGHHIGH,1,1
1855,2.09853,0.024651,1.931347933,0.690740706,0.242033031,0.019480712,0.007712507,0.670377089,HIGH,HIGH,HIGHHIGH,1,1
1856,1.74892,0.019551,1.931347933,0.690740706,-0.264104796,0.019480712,0.007712507,0.009113485,LOW,HIGH,LOWHIGH,3,2
1857,2.17089,0.022176,1.931347933,0.690740706,0.346790141,0.019480712,0.007712507,0.349469752,HIGH,HIGH,HIGHHIGH,1,1
1858,0.323306,0.018932,1.931347933,0.690740706,-2.327996482,0.019480712,0.007712507,-0.071145764,LOW,LOW,LOWLOW,4,3
1859,2.02543,0.022218,1.931347933,0.690740706,0.136204608,0.019480712,0.007712507,0.354915452,HIGH,HIGH,HIGHHIGH,1,1
1860,1.92972,0.022287,1.931347933,0.690740706,-0.002356794,0.019480712,0.007712507,0.36386196,LOW,HIGH,LOWHIGH,3,2
1861,0.368983,0.009398,1.931347933,0.690740706,-2.261868918,0.019480712,0.007712507,-1.307319724,LOW,LOW,LOWLOW,4,3
1862,2.12169,0.023287,1.931347933,0.690740706,0.275562255,0.019480712,0.007712507,0.49352149,HIGH,HIGH,HIGHHIGH,1,1
1863,2.02072,0.020119,1.931347933,0.690740706,0.12938584,0.019480712,0.007712507,0.082760098,HIGH,HIGH,HIGHHIGH,1,1
1864,1.72642,0.022333,1.931347933,0.690740706,-0.296678524,0.019480712,0.007712507,0.369826298,LOW,HIGH,LOWHIGH,3,2
1865,2.10343,0.0234,1.931347933,0.690740706,0.249126865,0.019480712,0.007712507,0.508173017,HIGH,HIGH,HIGHHIGH,1,1
1866,0.605727,0.04148,1.931347933,0.690740706,-1.919129598,0.019480712,0.007712507,2.852417321,LOW,HIGH,LOWHIGH,3,2
1867,2.05043,0.023453,1.931347933,0.690740706,0.172397639,0.019480712,0.007712507,0.515044972,HIGH,HIGH,HIGHHIGH,1,1
1868,0.574949,0.024342,1.931347933,0.690740706,-1.963687563,0.019480712,0.007712507,0.630312294,LOW,HIGH,LOWHIGH,3,2
1869,0.603753,0.04165,1.931347933,0.690740706,-1.9219874,0.019480712,0.007712507,2.874459441,LOW,HIGH,LOWHIGH,3,2
1870,1.96388,0.022559,1.931347933,0.690740706,0.047097364,0.019480712,0.007712507,0.399129352,HIGH,HIGH,HIGHHIGH,1,1
1871,1.77508,0.020544,1.931347933,0.690740706,-0.226232408,0.019480712,0.007712507,0.137865399,LOW,HIGH,LOWHIGH,3,2
1872,1.73736,0.022389,1.931347933,0.690740706,-0.280840454,0.019480712,0.007712507,0.377087232,LOW,HIGH,LOWHIGH,3,2
1873,2.0225,0.027647,1.931347933,0.690740706,0.131962784,0.019480712,0.007712507,1.058837041,HIGH,HIGH,HIGHHIGH,1,1
1874,2.15803,0.022521,1.931347933,0.690740706,0.328172446,0.019480712,0.007712507,0.39420229,HIGH,HIGH,HIGHHIGH,1,1
1875,0.353644,0.021441,1.931347933,0.690740706,-2.284075515,0.019480712,0.007712507,0.254169997,LOW,HIGH,LOWHIGH,3,2
