LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,S,Z-score,typemesli,typeLER,type,NUMBER,QUADRANT
3412,2.1133,0.019813,1.950166924,0.682104078,0.239161561,0.01832996,0.00692192,0.235741976,HIGH,HIGH,HIGHHIGH,1,1
3413,2.14919,0.019749,1.950166924,0.682104078,0.291778165,0.01832996,0.00692192,0.257942465,HIGH,HIGH,HIGHHIGH,1,1
3414,2.11766,0.020183,1.950166924,0.682104078,0.245553547,0.01832996,0.00692192,0.376406858,HIGH,HIGH,HIGHHIGH,1,1
3415,2.20325,0.021919,1.950166924,0.682104078,0.371032932,0.01832996,0.00692192,-1.219376923,HIGH,HIGH,HIGHHIGH,1,1
3416,0.507436,0.019981,1.950166924,0.682104078,-2.115118454,0.01832996,0.00692192,0.709441354,LOW,HIGH,LOWHIGH,3,2
3417,2.15621,0.020135,1.950166924,0.682104078,0.302069849,0.01832996,0.00692192,0.348532798,HIGH,HIGH,HIGHHIGH,1,1
3418,2.19647,0.020955,1.950166924,0.682104078,0.3610931,0.01832996,0.00692192,0.295318947,HIGH,HIGH,HIGHHIGH,1,1
3419,0.585991,0.009909,1.950166924,0.682104078,-1.999952745,0.01832996,0.00692192,0.5619015,LOW,LOW,LOWLOW,4,3
3420,2.26905,0.02326,1.950166924,0.682104078,0.467499149,0.01832996,0.00692192,0.385698067,HIGH,HIGH,HIGHHIGH,1,1
3421,1.94584,0.020762,1.950166924,0.682104078,-0.006343495,0.01832996,0.00692192,0.320658883,LOW,HIGH,LOWHIGH,3,2
3422,2.16355,0.020393,1.950166924,0.682104078,0.31283067,0.01832996,0.00692192,0.37434558,HIGH,HIGH,HIGHHIGH,1,1
3423,2.05258,0.022239,1.950166924,0.682104078,0.150142888,0.01832996,0.00692192,0.357824151,HIGH,HIGH,HIGHHIGH,1,1
3424,2.08815,0.021019,1.950166924,0.682104078,0.202290355,0.01832996,0.00692192,0.281170848,HIGH,HIGH,HIGHHIGH,1,1
3425,0.485712,0.020569,1.950166924,0.682104078,-2.146966967,0.01832996,0.00692192,0.257942465,LOW,HIGH,LOWHIGH,3,2
