LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
8610,2.48202,0.021411,2.160955403,0.664878439,0.482892177,0.018474349,0.006593987,0.44535276,HIGH,HIGH,HIGHHIGH,1,1
8611,2.30117,0.00907,2.160955403,0.664878439,0.210887568,0.018474349,0.006593987,-1.426200686,HIGH,LOW,HIGHLOW,2,4
8612,2.82799,0.022825,2.160955403,0.664878439,1.003242935,0.018474349,0.006593987,0.659790534,HIGH,HIGH,HIGHHIGH,1,1
8613,2.5171,0.021455,2.160955403,0.664878439,0.535653701,0.018474349,0.006593987,0.452025505,HIGH,HIGH,HIGHHIGH,1,1
8614,2.40324,0.021601,2.160955403,0.664878439,0.364404352,0.018474349,0.006593987,0.474166888,HIGH,HIGH,HIGHHIGH,1,1
8615,2.28295,0.030321,2.160955403,0.664878439,0.183484062,0.018474349,0.006593987,1.796583713,HIGH,HIGH,HIGHHIGH,1,1
8616,0.60319,0.04024,2.160955403,0.664878439,-2.342932649,0.018474349,0.006593987,3.300832852,LOW,HIGH,LOWHIGH,3,2
8617,2.6429,0.021631,2.160955403,0.664878439,0.72486122,0.018474349,0.006593987,0.478716487,HIGH,HIGH,HIGHHIGH,1,1
8618,0.60321,0.040088,2.160955403,0.664878439,-2.342902568,0.018474349,0.006593987,3.27778155,LOW,HIGH,LOWHIGH,3,2
8619,0.862409,0.020051,2.160955403,0.664878439,-1.953058373,0.018474349,0.006593987,0.239104264,LOW,HIGH,LOWHIGH,3,2
8620,2.53757,0.022391,2.160955403,0.664878439,0.566441284,0.018474349,0.006593987,0.593972999,HIGH,HIGH,HIGHHIGH,1,1
8621,2.6008,0.021923,2.160955403,0.664878439,0.661541375,0.018474349,0.006593987,0.522999252,HIGH,HIGH,HIGHHIGH,1,1
8622,2.4025,0.021689,2.160955403,0.664878439,0.363291367,0.018474349,0.006593987,0.487512379,HIGH,HIGH,HIGHHIGH,1,1
8623,2.7355,0.023055,2.160955403,0.664878439,0.8641348,0.018474349,0.006593987,0.694670794,HIGH,HIGH,HIGHHIGH,1,1
8624,2.49577,0.021022,2.160955403,0.664878439,0.503572649,0.018474349,0.006593987,0.386359624,HIGH,HIGH,HIGHHIGH,1,1
8625,2.40839,0.021499,2.160955403,0.664878439,0.372150129,0.018474349,0.006593987,0.458698251,HIGH,HIGH,HIGHHIGH,1,1
8626,0.757877,0.021514,2.160955403,0.664878439,-2.11027809,0.018474349,0.006593987,0.46097305,LOW,HIGH,LOWHIGH,3,2
8627,2.56245,0.021558,2.160955403,0.664878439,0.603861658,0.018474349,0.006593987,0.467645796,HIGH,HIGH,HIGHHIGH,1,1
8628,0.602282,0.033517,2.160955403,0.664878439,-2.344298312,0.018474349,0.006593987,2.281267678,LOW,HIGH,LOWHIGH,3,2
8629,2.83106,0.023051,2.160955403,0.664878439,1.00786032,0.018474349,0.006593987,0.694064181,HIGH,HIGH,HIGHHIGH,1,1
8630,2.58384,0.022026,2.160955403,0.664878439,0.636032953,0.018474349,0.006593987,0.538619543,HIGH,HIGH,HIGHHIGH,1,1
8631,2.5147,0.020899,2.160955403,0.664878439,0.532044019,0.018474349,0.006593987,0.367706267,HIGH,HIGH,HIGHHIGH,1,1
8632,2.4445,0.021265,2.160955403,0.664878439,0.426460809,0.018474349,0.006593987,0.423211377,HIGH,HIGH,HIGHHIGH,1,1
8633,2.39861,0.02127,2.160955403,0.664878439,0.357440673,0.018474349,0.006593987,0.423969644,HIGH,HIGH,HIGHHIGH,1,1
8634,2.62454,0.021762,2.160955403,0.664878439,0.69724715,0.018474349,0.006593987,0.49858307,HIGH,HIGH,HIGHHIGH,1,1
8635,2.45807,0.021484,2.160955403,0.664878439,0.446870555,0.018474349,0.006593987,0.456423451,HIGH,HIGH,HIGHHIGH,1,1
8636,2.45569,0.019714,2.160955403,0.664878439,0.443290953,0.018474349,0.006593987,0.1879971,HIGH,HIGH,HIGHHIGH,1,1
8637,2.77002,0.00973,2.160955403,0.664878439,0.916054065,0.018474349,0.006593987,-1.326109504,HIGH,LOW,HIGHLOW,2,4
8638,3.3435,0.01228,2.160955403,0.664878439,1.778587674,0.018474349,0.006593987,-0.939393574,HIGH,LOW,HIGHLOW,2,4
8639,2.68905,0.004968,2.160955403,0.664878439,0.794272405,0.018474349,0.006593987,-2.048282545,HIGH,LOW,HIGHLOW,2,4
8640,3.79488,0.011936,2.160955403,0.664878439,2.457478691,0.018474349,0.006593987,-0.991562312,HIGH,LOW,HIGHLOW,2,4
8641,2.8045,0.004923,2.160955403,0.664878439,0.967913169,0.018474349,0.006593987,-2.055106944,HIGH,LOW,HIGHLOW,2,4
8642,2.73708,0.021239,2.160955403,0.664878439,0.866511174,0.018474349,0.006593987,0.419268391,HIGH,HIGH,HIGHHIGH,1,1
8643,2.67095,0.019028,2.160955403,0.664878439,0.767049383,0.018474349,0.006593987,0.083962932,HIGH,HIGH,HIGHHIGH,1,1
8644,2.89239,0.020959,2.160955403,0.664878439,1.100102746,0.018474349,0.006593987,0.376805466,HIGH,HIGH,HIGHHIGH,1,1
8645,2.72381,0.015488,2.160955403,0.664878439,0.846552638,0.018474349,0.006593987,-0.45288977,HIGH,LOW,HIGHLOW,2,4
8646,2.74677,0.017949,2.160955403,0.664878439,0.881085266,0.018474349,0.006593987,-0.079670984,HIGH,LOW,HIGHLOW,2,4
8647,1.75982,0.026404,2.160955403,0.664878439,-0.603321418,0.018474349,0.006593987,1.202557715,LOW,HIGH,LOWHIGH,3,2
8648,2.72982,0.022966,2.160955403,0.664878439,0.855591885,0.018474349,0.006593987,0.68117365,HIGH,HIGH,HIGHHIGH,1,1
8649,2.81453,0.023252,2.160955403,0.664878439,0.982998633,0.018474349,0.006593987,0.724546496,HIGH,HIGH,HIGHHIGH,1,1
8650,2.41821,0.022371,2.160955403,0.664878439,0.386919746,0.018474349,0.006593987,0.590939933,HIGH,HIGH,HIGHHIGH,1,1
8651,1.03556,0.022018,2.160955403,0.664878439,-1.692633324,0.018474349,0.006593987,0.537406316,LOW,HIGH,LOWHIGH,3,2
8652,3.43703,0.022972,2.160955403,0.664878439,1.919260005,0.018474349,0.006593987,0.68208357,HIGH,HIGH,HIGHHIGH,1,1
8653,2.90741,0.022009,2.160955403,0.664878439,1.122693342,0.018474349,0.006593987,0.536041437,HIGH,HIGH,HIGHHIGH,1,1
8654,2.94818,0.020777,2.160955403,0.664878439,1.184012821,0.018474349,0.006593987,0.349204564,HIGH,HIGH,HIGHHIGH,1,1
8655,1.08687,0.019676,2.160955403,0.664878439,-1.615461323,0.018474349,0.006593987,0.182234274,LOW,HIGH,LOWHIGH,3,2
8656,2.915,0.022811,2.160955403,0.664878439,1.134108962,0.018474349,0.006593987,0.657667388,HIGH,HIGH,HIGHHIGH,1,1
8657,2.99255,0.020387,2.160955403,0.664878439,1.250746825,0.018474349,0.006593987,0.290059775,HIGH,HIGH,HIGHHIGH,1,1
8658,2.37433,0.022748,2.160955403,0.664878439,0.32092272,0.018474349,0.006593987,0.648113229,HIGH,HIGH,HIGHHIGH,1,1
8659,2.83082,0.021946,2.160955403,0.664878439,1.007499352,0.018474349,0.006593987,0.526487278,HIGH,HIGH,HIGHHIGH,1,1
8660,2.71664,0.020768,2.160955403,0.664878439,0.835768712,0.018474349,0.006593987,0.347839684,HIGH,HIGH,HIGHHIGH,1,1
8661,2.76784,0.021188,2.160955403,0.664878439,0.91277527,0.018474349,0.006593987,0.411534073,HIGH,HIGH,HIGHHIGH,1,1
8662,2.64043,0.021265,2.160955403,0.664878439,0.721146256,0.018474349,0.006593987,0.423211377,HIGH,HIGH,HIGHHIGH,1,1
8663,2.79979,0.025295,2.160955403,0.664878439,0.960829167,0.018474349,0.006593987,1.034374199,HIGH,HIGH,HIGHHIGH,1,1
8664,0.604517,0.023322,2.160955403,0.664878439,-2.340936795,0.018474349,0.006593987,0.735162227,LOW,HIGH,LOWHIGH,3,2
8665,2.7027,0.021299,2.160955403,0.664878439,0.814802473,0.018474349,0.006593987,0.42836759,HIGH,HIGH,HIGHHIGH,1,1
8666,2.62676,0.021871,2.160955403,0.664878439,0.700586106,0.018474349,0.006593987,0.51511328,HIGH,HIGH,HIGHHIGH,1,1
8667,2.47003,0.022277,2.160955403,0.664878439,0.464858805,0.018474349,0.006593987,0.576684522,HIGH,HIGH,HIGHHIGH,1,1
8668,0.610357,0.022673,2.160955403,0.664878439,-2.332153235,0.018474349,0.006593987,0.636739232,LOW,HIGH,LOWHIGH,3,2
8669,2.85043,0.020826,2.160955403,0.664878439,1.036993465,0.018474349,0.006593987,0.356635576,HIGH,HIGH,HIGHHIGH,1,1
8670,2.73795,0.022359,2.160955403,0.664878439,0.867819684,0.018474349,0.006593987,0.589120094,HIGH,HIGH,HIGHHIGH,1,1
8671,2.8744,0.022939,2.160955403,0.664878439,1.073045168,0.018474349,0.006593987,0.677079011,HIGH,HIGH,HIGHHIGH,1,1
8672,2.55906,0.020007,2.160955403,0.664878439,0.598762982,0.018474349,0.006593987,0.232431519,HIGH,HIGH,HIGHHIGH,1,1
8673,2.44612,0.023138,2.160955403,0.664878439,0.428897344,0.018474349,0.006593987,0.707258019,HIGH,HIGH,HIGHHIGH,1,1
8674,2.6205,0.021587,2.160955403,0.664878439,0.691170851,0.018474349,0.006593987,0.472043742,HIGH,HIGH,HIGHHIGH,1,1
8675,2.46986,0.021543,2.160955403,0.664878439,0.464603119,0.018474349,0.006593987,0.465370996,HIGH,HIGH,HIGHHIGH,1,1
8676,2.40007,0.005028,2.160955403,0.664878439,0.359636563,0.018474349,0.006593987,-2.039183347,HIGH,LOW,HIGHLOW,2,4
8677,2.50723,0.010743,2.160955403,0.664878439,0.520808882,0.018474349,0.006593987,-1.172484705,HIGH,LOW,HIGHLOW,2,4
8678,2.47372,0.005453,2.160955403,0.664878439,0.470408692,0.018474349,0.006593987,-1.974730692,HIGH,LOW,HIGHLOW,2,4
8679,2.44348,0.01205,2.160955403,0.664878439,0.424926694,0.018474349,0.006593987,-0.974273835,HIGH,LOW,HIGHLOW,2,4
8680,2.59574,0.006101,2.160955403,0.664878439,0.653930961,0.018474349,0.006593987,-1.87645935,HIGH,LOW,HIGHLOW,2,4
8681,2.41362,0.006405,2.160955403,0.664878439,0.380016229,0.018474349,0.006593987,-1.830356745,HIGH,LOW,HIGHLOW,2,4
8682,2.44851,0.00519,2.160955403,0.664878439,0.432491986,0.018474349,0.006593987,-2.014615512,HIGH,LOW,HIGHLOW,2,4
