OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
126,399,面,5221,2.688554,0,12000,9000000,126,2.688554,1.932565937,0.68923483,1.096851219
127,214,面,5256,2.531288,0,12000,9000000,127,2.531288,1.932565937,0.68923483,0.868676447
128,287,面,5363,2.703146,0,12000,9000000,128,2.703146,1.932565937,0.68923483,1.118022523
129,65,面,5380,2.776742,0,12000,9000000,129,2.776742,1.932565937,0.68923483,1.224801805
130,225,面,5418,2.58472,0,12000,9000000,130,2.58472,1.932565937,0.68923483,0.946200098
131,484,面,5444,2.60362,0,12000,9000000,131,2.60362,1.932565937,0.68923483,0.973621811
132,154,面,5518,2.617385,0,12000,9000000,132,2.617385,1.932565937,0.68923483,0.993593234
133,257,面,5542,2.410298,0,12000,9000000,133,2.410298,1.932565937,0.68923483,0.693133955
134,436,面,5607,2.297955,0,12000,9000000,134,2.297955,1.932565937,0.68923483,0.530137259
135,99,面,5609,3.046125,0,12000,9000000,135,3.046125,1.932565937,0.68923483,1.615645373
136,174,面,5656,2.004138,0,12000,9000000,136,2.004138,1.932565937,0.68923483,0.103842783
137,107,面,5685,2.580772,0,12000,9000000,137,2.580772,1.932565937,0.68923483,0.940472006
138,280,面,5705,2.38188,0,12000,9000000,138,2.38188,1.932565937,0.68923483,0.651902724
139,250,面,5720,2.671893,0,12000,9000000,139,2.671893,1.932565937,0.68923483,1.072678036
140,446,面,5740,0.805361,0,12000,9000000,140,0.805361,1.932565937,0.68923483,-1.635443957
141,101,面,5746,2.39443,1500,6966.324162,1418008.824,141,2.39443,1.932565937,0.68923483,0.670111322
142,201,面,5798,2.694714,0,12000,9000000,142,2.694714,1.932565937,0.68923483,1.105788666
143,91,面,5804,0.884015,0,12000,9000000,143,0.884015,1.932565937,0.68923483,-1.521326102
144,463,面,5811,2.694776,0,12000,9000000,144,2.694776,1.932565937,0.68923483,1.105878621
145,421,面,5814,0.870397,0,12000,9000000,145,0.870397,1.932565937,0.68923483,-1.541084245
146,361,面,5821,2.507406,0,12000,9000000,146,2.507406,1.932565937,0.68923483,0.834026428
147,312,面,5839,2.521086,0,12000,9000000,147,2.521086,1.932565937,0.68923483,0.853874526
148,151,面,5857,2.100658,0,12000,9000000,148,2.100658,1.932565937,0.68923483,0.243882137
149,262,面,5873,2.444301,0,12000,9000000,149,2.444301,1.932565937,0.68923483,0.742468374
150,228,面,5905,2.406389,0,12000,9000000,150,2.406389,1.932565937,0.68923483,0.687462448
151,126,面,5912,2.337124,0,12000,9000000,151,2.337124,1.932565937,0.68923483,0.586966946
152,208,面,5927,2.46914,0,12000,9000000,152,2.46914,1.932565937,0.68923483,0.778506889
153,369,面,5932,2.440164,0,12000,9000000,153,2.440164,1.932565937,0.68923483,0.736466065
154,180,面,5933,2.439769,0,12000,9000000,154,2.439769,1.932565937,0.68923483,0.735892966
155,419,面,5942,0.875733,0,12000,9000000,155,0.875733,1.932565937,0.68923483,-1.533342326
156,181,面,6074,2.381418,0,12000,9000000,156,2.381418,1.932565937,0.68923483,0.651232416
157,37,面,6148,2.639972,0,12000,9000000,157,2.639972,1.932565937,0.68923483,1.026364358
158,109,面,6172,2.496277,0,12000,9000000,158,2.496277,1.932565937,0.68923483,0.817879537
159,86,面,6213,2.486713,0,12000,9000000,159,2.486713,1.932565937,0.68923483,0.804003279
160,140,面,6224,2.04146,0,12000,9000000,160,2.04146,1.932565937,0.68923483,0.157992688
161,461,面,6232,2.356889,0,12000,9000000,161,2.356889,1.932565937,0.68923483,0.615643675
162,270,面,6243,2.172098,0,12000,9000000,162,2.172098,1.932565937,0.68923483,0.347533312
