Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
0.279282411,119,1.760401964,1153.833333,16.34444427,1219.994019,7912.25,666.1469116,0,3.046707869,1015.250081,2165.063721,2704.184082,21789.61914,753.3331299
0.081366641,97,0.682241797,1146.99998,16.39999962,1232.31071,6521.75,647.2952474,0,2.281615973,994.7281901,5105.634277,3922.69043,19330.99805,2316.786621
0.191782743,90.25,0.818333864,1148.383321,16.40277735,1235.465373,8095.083333,448.437439,0,2.463652849,995.5194194,8042.854004,4718.845215,17046.62695,4116.733887
0.190867191,87.75,0.359901845,1149.233317,16.41736094,1236.009644,8454.916667,693.4465535,0,2.633572817,1067.478566,10770.67773,4650,15016.24121,5967.202148
0.298585008,84.5,0.57235986,1148.700033,16.40555509,1231.591512,8122.083333,681.1819865,0,1.858195186,1523.850545,13245.66016,1650,13356.17773,2984.543701
0,77.5,2.605828762,1144.599955,16.41666667,1220.647786,4504.25,175.7723338,0.361666679,3.241786003,1539.179403,15833.11426,295.8081055,12218.32617,50
0.191328789,81.25,0.45346123,1138.033285,16.40277799,1219.97762,8054.583333,710.6449178,0,2.455065409,1514.538859,18274.23047,2250,11755.31738,1275.736328
0.075114551,77.5,0.446913213,1137.399943,16.3986117,1219.00826,7814.5,694.8854777,0,5.895711263,1509.33256,20611.04102,606.2219238,12045.22754,2930.443604
0.251444429,80.5,0.426442802,1136.333374,16.39722252,1219.666504,8066.75,692.1450399,0,3.408169905,1516.523702,23063.55469,1366.56543,13037.92578,5526.979492
0.167839209,82.25,0.368600339,1138.233317,16.37361081,1218.329753,8037.25,736.8686727,0,1.827708999,1546.302409,22787.00195,1132.478882,14590.66504,3004.579834
0.188923627,125,0.347333342,1147.866597,16.36527824,1220.985352,8449.916667,664.727946,0,2.619022051,1018.606405,2688.401123,3070.423584,25739.99805,3335.790771
0.254274646,129.75,1.589469671,1151.099996,16.33263906,1220.334595,7596.333333,592.96521,1.523333391,9.424243132,1038.512288,25,850,23073.52344,739.9334106
0.212180833,100.75,0.631458223,1144.033407,16.39722188,1228.69283,7691.75,565.2752177,0,6.556324959,1020.397685,2233.27124,85.35533905,20329.47266,2729.010986
0.236594136,94,0.603466868,1141.400004,16.40277735,1243.348918,8385.5,677.8179525,0,3.250764608,1019.97522,4248.234863,1080.510986,17668.82813,4425.776855
0.26738897,93.25,1.488608479,1143.766724,16.39166641,1243.968994,8140.916667,697.8763021,0,5.669963996,1035.263285,6588.247559,1785.357544,15135.63672,6490.570313
0.264187266,87,0.793043673,1141.899984,16.41250038,1242.650146,8059.416667,710.8839925,0,3.773214102,1023.804413,9141.935547,3482.456055,12805.76074,6565.630371
0.127376318,86,0.87480545,1143.699972,16.41111056,1233.958211,6939.25,613.3333333,0,3.757701159,1054.395579,11752.76563,3131.692871,10811.45215,3897.114258
0.295061519,83.75,1.012506723,1138.5,16.40972201,1219.682658,8245.666667,681.0588379,0,2.710244417,1518.254425,14040.92285,550,9369.499023,1930.673706
0.225515872,82.5,0.365482628,1136.983358,16.375,1218.497803,7544.5,634.3615926,0,2.560576439,1246.366353,16414.24805,2350,8757.139648,785.8284302
0.218172466,81,0.279031187,1132.433268,16.36944389,1217.857259,7776.333333,715.3741862,0,4.49576513,1507.583781,18934.82227,650,9142.620117,1750
0.257186209,81.5,0.466461927,1131.566671,16.37916756,1220.318685,7898.083333,703.2312012,0,2.988296032,1495.420024,21538.51172,3650,10415.7334,4750
0.297793547,81,0.857889891,1131.000041,16.36388842,1222.660522,8207.833333,641.437439,0,1.360707859,1461.837535,24220.39453,2933.854004,12303.96289,4248.234863
0.300424973,108.25,0.594813526,1135.966675,16.40833346,1224.208618,7283.583333,577.7414144,0,3.833066861,1018.115519,11129.93359,4181.805664,23663.20898,3021.175293
0.196858351,118.25,0.739817798,1138.033325,16.39166705,1223.992716,8038,657.1312256,0,3.22137332,1018.148519,8215.686523,3894.547607,22974.93164,5146.601074
0.246573612,120.75,0.456685066,1138.966695,16.36527761,1224.333984,8339.333333,671.1055298,0,2.287164768,1014.156006,5256.186523,5519.737305,22665.99805,6321.985352
0.156552769,134.75,0.482954144,1145.93335,16.35555522,1224.685506,8272.416667,498.8527323,0,3.907591343,1031.30953,2316.786621,4850.515137,22751.86914,4954.543457
0.195930153,107,0.738087356,1141.333374,16.37569427,1235.677409,8023.833333,436.634847,0,4.599932671,1037.618286,550,3848.717041,22110.80078,3667.083496
0.177228689,96.25,0.665872395,1140.149984,16.39999962,1239.192342,8132.5,669.6392822,0,3.93152531,1018.967845,85.35533905,2616.772705,19229.85938,4510.820313
0.261113485,94.75,0.707507849,1137.199992,16.38055547,1242.329305,8087.083333,692.727946,0,3.412822008,1019.214498,2438.749756,1710.994263,16391.68945,6726.626465
0.117548533,93.25,0.463387698,1138.533366,16.38611094,1241.655843,6786.333333,439.49587,0,5.752169768,1024.364573,5062.361328,150,13623.0498,8613.216797
0.175056885,90,0.535891473,1137.86672,16.40555509,1240.98877,7398.666667,599.6763509,0,3.12927254,1021.555237,7564.720703,3066.351563,10976.67969,7154.543945
0.173518777,87.25,1.114650488,1139.033325,16.40555509,1233.631958,7466.833333,481.7746785,0,3.461224476,1364.40332,9815.676758,2616.772705,8566.650391,4157.82373
0.123992182,88,0.679706097,1138.833313,16.39722252,1222.662923,7209.833333,438.4220378,0,6.514913956,1587.755697,12248.57129,85.35533905,6654.885254,1177.92334
0.21627743,85,1.163622737,1141.199992,16.37500064,1216.640666,6503.916667,544.0743001,0,1.99245739,1593.665039,14832.65039,1050,5760.859375,1407.158691
0.196539273,84,0.435468972,1128.433329,16.36111069,1218.333577,7465.416667,619,0,2.312797467,1510.240835,17513.63672,517.2062988,6331.46875,3118.894043
0.271220386,83,0.980903983,1128.141622,16.35833295,1221.342244,7690.583333,687.0817057,0,1.067673147,1577.798584,20268.88086,3453.619629,8061.482422,5523.359375
