var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,,,,
40,X4,X8,0.317554315807475,0.121681657338693,0.387101889463345,"Enhance, bi-",,,,0.100518081126652,,,,,,,,,,,,,,
41,X4,X9,0.317554315807475,0.566076728961407,0.598562845252636,"Enhance, bi-",,,,0.179066911180075,,,,,,,,,,,,,,
42,X4,X10,0.317554315807475,0.368770258353998,0.527425551002856,"Enhance, bi-",,,,0.181500919391304,,,,,,,,,,,,,,
43,X4,X11,0.317554315807475,0.100518081126652,0.359715444042486,"Enhance, bi-",,,,0.0735436174776237,,,,,,,,,,,,,,
44,X4,X12,0.317554315807475,0.179066911180075,0.393998619488532,"Enhance, bi-",,,,,,,,,,,,,,,,,,
45,X4,X13,0.317554315807475,0.181500919391304,0.398264826396383,"Enhance, bi-",,,,,,,,,,,,,,,,,,
46,X4,X14,0.317554315807475,0.0735436174776237,0.340276484390335,"Enhance, bi-",,,,,,,,,,,,,,,,,,
47,X5,X6,0.519969519508289,0.154547201371067,0.591019287856252,"Enhance, bi-",,,,,,,,,,,,,,,,,,
48,X5,X7,0.519969519508289,0.672423525303453,0.728631840858741,"Enhance, bi-",,,,,,,,,,,,,,,,,,
49,X5,X8,0.519969519508289,0.121681657338693,0.565207918642358,"Enhance, bi-",,,,,,,,,,,,,,,,,,
50,X5,X9,0.519969519508289,0.566076728961407,0.638921106383697,"Enhance, bi-",,,,,,,,,,,,,,,,,,
51,X5,X10,0.519969519508289,0.368770258353998,0.607723733259849,"Enhance, bi-",,,,,,,,,,,,,,,,,,
52,X5,X11,0.519969519508289,0.100518081126652,0.534611687853698,"Enhance, bi-",,,,,,,,,,,,,,,,,,
53,X5,X12,0.519969519508289,0.179066911180075,0.551007206222852,"Enhance, bi-",,,,,,,,,,,,,,,,,,
54,X5,X13,0.519969519508289,0.181500919391304,0.549634682580699,"Enhance, bi-",,,,,,,,,,,,,,,,,,
55,X5,X14,0.519969519508289,0.0735436174776237,0.543304886897751,"Enhance, bi-",,,,,,,,,,,,,,,,,,
56,X6,X7,0.154547201371067,0.672423525303453,0.696100681199157,"Enhance, bi-",,,,,,,,,,,,,,,,,,
57,X6,X8,0.154547201371067,0.121681657338693,0.214198730632968,"Enhance, bi-",,,,,,,,,,,,,,,,,,
58,X6,X9,0.154547201371067,0.566076728961407,0.6377941374714,"Enhance, bi-",,,,,,,,,,,,,,,,,,
59,X6,X10,0.154547201371067,0.368770258353998,0.495332514303752,"Enhance, bi-",,,,,,,,,,,,,,,,,,
60,X6,X11,0.154547201371067,0.100518081126652,0.22728772090635,"Enhance, bi-",,,,,,,,,,,,,,,,,,
61,X6,X12,0.154547201371067,0.179066911180075,0.28395621556566,"Enhance, bi-",,,,,,,,,,,,,,,,,,
62,X6,X13,0.154547201371067,0.181500919391304,0.294779375016705,"Enhance, bi-",,,,,,,,,,,,,,,,,,
63,X6,X14,0.154547201371067,0.0735436174776237,0.203044002412231,"Enhance, bi-",,,,,,,,,,,,,,,,,,
