var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,,,
20,X2,X9,0.174208775345722,0.152565094541998,0.258288227670717,"Enhance, bi-",,,X12,0.127597717323673,0.19425881023558,0.179145835192883,0.221263692632883,0.154014208549984,0.117547296894647,0.26340633547648,0.0409774987466881,0.159355777890414,0.12824015936762,0.0343207011720797,0.0379066695257693,,
21,X2,X10,0.174208775345722,0.103207071008655,0.263573776947843,"Enhance, bi-",,,X13,0.142901421082391,0.203812243063703,0.173711073137395,0.219661367652843,0.159337419849342,0.120570527871538,0.274930342037263,0.0220487140751983,0.163958028312233,0.12554411912474,0.0232638490962109,0.0417832152185068,0.0154767282755724,
22,X2,X11,0.174208775345722,0.00464983540339359,0.187427307828791,"Enhance, nonlinear",,,X14,0.124993617200592,0.200391314949915,0.194370532472909,0.232248451245291,0.161522117269161,0.126702123008739,0.276409853871643,0.0750674675441863,0.17932840446011,0.159119459362426,0.0621976980582948,0.0701127438095723,0.0815850631185028,0.0566018989886847
23,X2,X12,0.174208775345722,0.0227864254328275,0.19425881023558,"Enhance, bi-",,,,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
24,X2,X13,0.174208775345722,0.0108326682843293,0.203812243063703,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
25,X2,X14,0.174208775345722,0.0498177782921176,0.200391314949915,"Enhance, bi-",,,,,,,,,,,,,,,,,
26,X3,X4,0.150109292050632,0.203548752127907,0.256560363153768,"Enhance, bi-",,,,,,,,,,,,,,,,,
27,X3,X5,0.150109292050632,0.134380397668259,0.275506949972487,"Enhance, bi-",,,,,,,,,,,,,,,,,
28,X3,X6,0.150109292050632,0.0893923092066589,0.227321402471877,"Enhance, bi-",,,,,,,,,,,,,,,,,
29,X3,X7,0.150109292050632,0.256672337415362,0.4275042311704,"Enhance, nonlinear",,,,,,0.15233715226356,,,,,,,,,,,
30,X3,X8,0.150109292050632,0.0124784227437257,0.157279254348909,"Enhance, bi-",,,,,,0.239725704823705,,,,,,,,,,,
31,X3,X9,0.150109292050632,0.152565094541998,0.286392719276232,"Enhance, bi-",,,,,,0.14756567742521,,,,,,,,,,,
32,X3,X10,0.150109292050632,0.103207071008655,0.219346653056872,"Enhance, bi-",,,,,,0.238662570049927,,,,,,,,,,,
33,X3,X11,0.150109292050632,0.00464983540339359,0.166733421967022,"Enhance, nonlinear",,,,,,0.182080713251991,,,,,,,,,,,
34,X3,X12,0.150109292050632,0.0227864254328275,0.179145835192883,"Enhance, nonlinear",,,,,,0.0735393974460024,,,,,,,,,,,
35,X3,X13,0.150109292050632,0.0108326682843293,0.173711073137395,"Enhance, nonlinear",,,,,,0.271511434525654,,,,,,,,,,,
36,X3,X14,0.150109292050632,0.0498177782921176,0.194370532472909,"Enhance, bi-",,,,,,0.00062298567994068,,,,,,,,,,,
37,X4,X5,0.203548752127907,0.134380397668259,0.273407744015769,"Enhance, bi-",,,,,,0.184540111094976,,,,,,,,,,,
38,X4,X6,0.203548752127907,0.0893923092066589,0.302901382263038,"Enhance, nonlinear",,,,,,0.11741280402246,,,,,,,,,,,
39,X4,X7,0.203548752127907,0.256672337415362,0.410336418294769,"Enhance, bi-",,,,,,0.0119097601255728,,,,,,,,,,,
40,X4,X8,0.203548752127907,0.0124784227437257,0.218353888349379,"Enhance, nonlinear",,,,,,0.0379066695257693,,,,,,,,,,,
41,X4,X9,0.203548752127907,0.152565094541998,0.283940979076077,"Enhance, bi-",,,,,,0.0154767282755724,,,,,,,,,,,
42,X4,X10,0.203548752127907,0.103207071008655,0.248535980987469,"Enhance, bi-",,,,,,0.0566018989886847,,,,,,,,,,,
43,X4,X11,0.203548752127907,0.00464983540339359,0.213115141,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
44,X4,X12,0.203548752127907,0.0227864254328275,0.221263692632883,"Enhance, bi-",,,,,,,,,,,,,,,,,
45,X4,X13,0.203548752127907,0.0108326682843293,0.219661367652843,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
46,X4,X14,0.203548752127907,0.0498177782921176,0.232248451245291,"Enhance, bi-",,,,,,,,,,,,,,,,,
47,X5,X6,0.134380397668259,0.0893923092066589,0.221437639597459,"Enhance, bi-",,,,,,,,,,,,,,,,,
48,X5,X7,0.134380397668259,0.256672337415362,0.298063922838123,"Enhance, bi-",,,,,,,,,,,,,,,,,
49,X5,X8,0.134380397668259,0.0124784227437257,0.162456827292071,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
50,X5,X9,0.134380397668259,0.152565094541998,0.212272589877278,"Enhance, bi-",,,,,,,,,,,,,,,,,
51,X5,X10,0.134380397668259,0.103207071008655,0.252042201605546,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
