var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,,,
49,X5,X8,0.322731778649801,0.0291037101596628,0.369074517184485,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
50,X5,X9,0.322731778649801,0.342690264980952,0.404161253546396,"Enhance, bi-",,,,,,,,,,,,,,,,,
51,X5,X10,0.322731778649801,0.209924936486713,0.388904467137329,"Enhance, bi-",,,,,,,,,,,,,,,,,
52,X5,X11,0.322731778649801,0.0360517856059852,0.332129554575706,"Enhance, bi-",,,,,,,,,,,,,,,,,
53,X5,X12,0.322731778649801,0.0750945204072134,0.337698536832271,"Enhance, bi-",,,,,,,,,,,,,,,,,
54,X5,X13,0.322731778649801,0.0831120844805496,0.347913353870946,"Enhance, bi-",,,,,,,,,,,,,,,,,
55,X5,X14,0.322731778649801,0.0406535401675838,0.349306730752521,"Enhance, bi-",,,,,,,,,,,,,,,,,
56,X6,X7,0.154722183906374,0.52699914080065,0.672379371490982,"Enhance, bi-",,,,,,,,,,,,,,,,,
57,X6,X8,0.154722183906374,0.0291037101596628,0.186759619412783,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
58,X6,X9,0.154722183906374,0.342690264980952,0.571645508576583,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
59,X6,X10,0.154722183906374,0.209924936486713,0.48352467447744,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
60,X6,X11,0.154722183906374,0.0360517856059852,0.22116182901453,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
61,X6,X12,0.154722183906374,0.0750945204072134,0.267839604280635,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
62,X6,X13,0.154722183906374,0.0831120844805496,0.276731957286633,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
63,X6,X14,0.154722183906374,0.0406535401675838,0.201690555940222,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
64,X7,X8,0.52699914080065,0.0291037101596628,0.533198188190041,"Enhance, bi-",,,,,,,,,,,,,,,,,
65,X7,X9,0.52699914080065,0.342690264980952,0.605594944883387,"Enhance, bi-",,,,,,,,,,,,,,,,,
66,X7,X10,0.52699914080065,0.209924936486713,0.572592098891679,"Enhance, bi-",,,,,,,,,,,,,,,,,
67,X7,X11,0.52699914080065,0.0360517856059852,0.532823231944816,"Enhance, bi-",,,,,,,,,,,,,,,,,
68,X7,X12,0.52699914080065,0.0750945204072134,0.539146350176438,"Enhance, bi-",,,,,,,,,,,,,,,,,
69,X7,X13,0.52699914080065,0.0831120844805496,0.538909374650548,"Enhance, bi-",,,,,,,,,,,,,,,,,
70,X7,X14,0.52699914080065,0.0406535401675838,0.535014213052208,"Enhance, bi-",,,,,,,,,,,,,,,,,
71,X8,X9,0.0291037101596628,0.342690264980952,0.376787357839892,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
72,X8,X10,0.0291037101596628,0.209924936486713,0.242483414111339,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
73,X8,X11,0.0291037101596628,0.0360517856059852,0.0673318181440749,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
74,X8,X12,0.0291037101596628,0.0750945204072134,0.108544961871107,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
75,X8,X13,0.0291037101596628,0.0831120844805496,0.103381332374302,"Enhance, bi-",,,,,,,,,,,,,,,,,
76,X8,X14,0.0291037101596628,0.0406535401675838,0.0697328231579137,"Enhance, bi-",,,,,,,,,,,,,,,,,
77,X9,X10,0.342690264980952,0.209924936486713,0.38311846284506,"Enhance, bi-",,,,,,,,,,,,,,,,,
78,X9,X11,0.342690264980952,0.0360517856059852,0.348959766674545,"Enhance, bi-",,,,,,,,,,,,,,,,,
79,X9,X12,0.342690264980952,0.0750945204072134,0.352842145660487,"Enhance, bi-",,,,,,,,,,,,,,,,,
80,X9,X13,0.342690264980952,0.0831120844805496,0.361028147062276,"Enhance, bi-",,,,,,,,,,,,,,,,,
81,X9,X14,0.342690264980952,0.0406535401675838,0.364329469429303,"Enhance, bi-",,,,,,,,,,,,,,,,,
82,X10,X11,0.209924936486713,0.0360517856059852,0.226106814257599,"Enhance, bi-",,,,,,,,,,,,,,,,,
83,X10,X12,0.209924936486713,0.0750945204072134,0.238523345021313,"Enhance, bi-",,,,,,,,,,,,,,,,,
84,X10,X13,0.209924936486713,0.0831120844805496,0.248010954213971,"Enhance, bi-",,,,,,,,,,,,,,,,,
85,X10,X14,0.209924936486713,0.0406535401675838,0.240910099684404,"Enhance, bi-",,,,,,,,,,,,,,,,,
86,X11,X12,0.0360517856059852,0.0750945204072134,0.108199436285535,"Enhance, bi-",,,,,,,,,,,,,,,,,
87,X11,X13,0.0360517856059852,0.0831120844805496,0.101036580722461,"Enhance, bi-",,,,,,,,,,,,,,,,,
88,X11,X14,0.0360517856059852,0.0406535401675838,0.0844518874406385,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
89,X12,X13,0.0750945204072134,0.0831120844805496,0.142507246168323,"Enhance, bi-",,,,,,,,,,,,,,,,,
90,X12,X14,0.0750945204072134,0.0406535401675838,0.110211532941632,"Enhance, bi-",,,,,,,,,,,,,,,,,
91,X13,X14,0.0831120844805496,0.0406535401675838,0.121081246329574,"Enhance, bi-",,,,,,,,,,,,,,,,,
